RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
102001,0,United States,country,,1228.7839999466028,1235.3981479998542,1244.2502656376728,1254.0315534429174,1263.701003364969,1272.1492113397208,1278.2634786613696,1281.9957440420367,1283.7102946693824,1284.1757392487234,1284.4247653941873,1284.9553122706843,1288.1833986612144,1293.3354152681197,1299.8147444674808,1309.6477144676303,1319.2553185164188,1328.5270270940314,1331.7049366542262,1333.029677650298,1332.2495608248726,1329.3690298065437,1326.8748068126813,1324.5045339280719,1330.8670887015307,1339.05721475418,1351.413151307201,1359.9904976225948,1369.1743173494583,1376.347348187773,1381.191953475533,1382.9023240564854,1383.3140251375653,1382.044980791337,1382.1137268342418,1383.1187842449306,1388.063254763935,1395.6455710885923,1405.5933604659708,1415.590018711969,1424.176622336567,1431.8250032793512,1437.2384941220305,1440.510370618287,1440.2588577526637,1439.6239497465901,1440.1971885180903,1442.3191242997088,1446.948220023986,1453.592322127593,1463.7871211616684,1473.9632557244408,1483.742822663592,1492.0419129901936,1498.124325263383,1501.5979542067687,1501.834144605209,1500.731327569814,1499.7376211662513,1500.877200131986,1506.1390151022874,1514.5871121419489,1522.789838533782,1522.8904979435802,1521.2823117607086,1521.0595138948388,1525.919097617216,1527.4449321411423,1525.5147640566042,1523.7160926146232,1524.6555654911656,1526.9674442800265,1532.5835255429704,1541.2220438206857,1556.4201130946296,1577.4791415615525,1604.8908751536712,1636.0193120010172,1668.334179880528,1698.533922096433,1723.223163816176,1739.2811764552714,1750.3252970771769,1760.6053732241587,1772.3550437989193,1788.552106143949,1805.5377891391538,1826.9189987796278,1849.074451352007,1871.9516487214944,1891.0141294722503,1902.3598029986977,1906.120137650245,1903.0697314502358,1897.1813799026388,1894.3078906551314,1896.4542123479566,1903.7811152142742,1913.9566687622482,1925.7225310207893,1938.4369849295458,1949.1046708272063,1958.9216672842542,1965.0261200244188,1967.6961494628256,1965.4458091465362,1960.639200199308,1957.3923376256719
394913,1,"New York, NY",msa,NY,2286.942293292214,2302.4415869754594,2319.7154016572904,2341.3949324954106,2356.9200536026415,2374.748811368734,2386.3079226036357,2396.440996775039,2399.5334090080187,2396.1702459896123,2387.304916248788,2377.4501670772247,2374.929243768353,2378.365137855471,2386.3600148137784,2400.0929995667198,2416.970056065597,2434.5441848121686,2445.967582797554,2450.103908140955,2449.012248258897,2441.0770659770637,2432.4663520908193,2416.336469502128,2414.7358946769723,2415.24290525799,2429.8822339155204,2441.4562368626916,2459.8943516998734,2475.1784690344,2485.698840861829,2487.623144997289,2485.9954178970474,2472.7277836479816,2457.9593326448803,2443.9430753034667,2441.3378274269035,2448.402209098274,2461.286765606631,2481.57332648158,2499.704854776065,2517.481585297655,2529.569964055438,2538.4620315262273,2538.8317739597,2529.65423197806,2517.8887090261946,2507.6005995624837,2507.077270375259,2516.6123382407495,2531.140970292203,2548.6238394952065,2568.74238401228,2590.859403211881,2606.028678893636,2612.945152072689,2610.6873512024986,2605.831572225583,2593.523004207733,2585.925359407811,2585.448956856215,2599.1400863374897,2609.2725402210285,2602.780170950165,2585.521132356111,2561.78449681387,2536.9731992069096,,,2394.0374305672085,2364.267822478535,2350.479803279895,2346.4360259384575,2356.0930333927167,2379.03072182524,2409.595343491553,2454.870662093255,2510.025941389189,2572.9014118317423,2633.982585185223,2684.0766759707826,2716.332730223706,2737.6345766990576,2755.627583139345,2780.1490204888,2815.052202745834,2854.7059967403484,2898.362421012769,2950.899578719297,3008.1632696600727,3058.5193970552496,3086.66066988746,3088.6150081467113,3070.4029782565713,3037.9476567845195,3015.415195515304,3009.706462393496,3023.5839848179053,3048.279317246909,3083.4610473375988,3122.358849661764,3158.258685976789,3181.961463989282,3190.5872647539954,3189.132742713159,3173.0379959973493,3150.806601893216,3132.0496515578548
753899,2,"Los Angeles, CA",msa,CA,1822.376921250098,1834.2256939174736,1849.5131603290902,1863.634189282632,1877.945479497723,1889.3193084333143,1902.697915621043,1912.916996927433,1922.3485633438263,1927.706545025762,1932.6370420085357,1939.1227196101884,1949.030409863322,1961.4622579072018,1972.798588213525,1983.9105503647634,1997.1078409456475,2009.9092863618687,2019.3949827116712,2024.0616410998614,2028.6710755685378,2027.6621947015424,2027.5198537694794,2026.309556591591,2045.5916140290724,2064.884703366943,2090.519849849472,2103.097941911046,2116.7547627656672,2126.1466418643317,2134.7872495553343,2140.6785833472177,2145.5183803894643,2147.0990295323104,2151.798367492295,2156.2175903733787,2166.510408253609,2177.260091565521,2188.6301769251118,2199.502530539635,2208.5420891277163,2220.133360126818,2229.969996910676,2238.980620000478,2243.8156083733065,2248.291587450284,2253.8265028714713,2259.0072131070947,2264.4908757136573,2268.8745788434967,2280.3583723341126,2290.6256218623002,2302.485423059296,2311.577634639257,2320.203600206601,2326.711111179494,2330.706177964243,2332.2161827395034,2334.912953327141,2338.2380171281534,2347.066321578106,2351.8837692663956,2352.39878763338,2339.055141479794,2326.993177241305,2318.929304150184,2319.997849462723,2320.578108256065,2321.704556307931,2324.0198453548874,2328.412072305255,2329.0066315826098,2331.768533676009,2337.406554419814,2350.5813826517306,2365.5203979215357,2387.399473786177,2422.540429944296,2469.6906507188005,2523.1902158375633,2564.135492662394,2593.3680034729773,2609.394256957789,2628.987877383484,2647.5599332222873,2673.10939537644,2698.1243135974764,2727.829135384675,2756.418252793995,2780.755400837233,2802.183505852858,2817.5048189439094,2824.403820285021,2820.717375297383,2811.883322815808,2805.345277587792,2802.445692647278,2811.360818977213,2822.0676022713337,2837.4427891697583,2844.700861642103,2855.4320979879653,2868.4022161543894,2880.681567135998,2884.8881332614656,2881.9231739171946,2868.529585982662,2858.2408347891264
394463,3,"Chicago, IL",msa,IL,1385.601819697689,1392.8619930712496,1403.3500241106283,1412.7841225306677,1423.6900416533504,1432.0426468765831,1436.9975302178327,1439.0176511614814,1434.0319926856841,1427.1889564237226,1421.4309881935792,1421.6054695613866,1429.5072715985098,1437.8761961736323,1449.5518014796053,1457.5003386829828,1467.7259782351032,1476.9522864437135,1483.679397689776,1487.3668575988731,1480.5279311499294,1467.7214348217326,1451.060501070077,1440.76277978816,1449.4988415632993,1466.0086625802303,1487.2595328065397,1498.3687365186765,1509.390386490564,1514.9674707471302,1516.8636616577674,1512.054317859553,1505.801753748531,1495.57953413649,1489.2293806093278,1487.8650708160217,1495.7152313366548,1506.7800639573688,1518.840984521161,1529.9267074623713,1539.694017655771,1548.1478557063529,1551.6905887291102,1548.8549212414957,1538.8527004912346,1528.1899974636851,1522.6475229461553,1523.5007458845978,1532.041082777992,1542.0494081942984,1557.0799337424555,1570.0973903008207,1581.4034717055042,1588.7793081586606,1591.7369762456094,1592.0988988156917,1587.528850265071,1580.2275131374042,1572.7689265243766,1568.2919584502222,1577.305485733629,1589.146236992262,1602.920355477565,1603.422021026019,1601.8950793730667,1598.616383601826,1597.6133056895183,1591.5396003999995,1577.432096486961,1557.9841992187842,1543.1400501035143,1534.8442475621982,1533.700440961035,1540.5321542955776,1558.091390695796,1585.161831262999,1612.8289943473064,1636.6850954471486,1655.0577650567247,1668.0883462521597,1675.2958034689534,1676.0957011618048,1676.8185716857315,1682.8993980343241,1696.6707134924843,1713.579181007419,1733.3424284009652,1755.5873741617947,1779.456549326777,1799.2623001661195,1815.9213510927898,1823.0455956387784,1825.5913625609005,1823.4608705213473,1818.7431044026769,1819.5842203606812,1826.094839038624,1838.741435944075,1853.085095192713,1869.2573870692909,1891.5233906463495,1911.3934046428017,1923.7843281559967,1930.812987260676,1928.5290275499183,1921.225502352602,1913.6759276976036,1916.0336033061103
394514,4,"Dallas, TX",msa,TX,1114.9784594641008,1119.8256626995817,1127.6697145277774,1138.626074264024,1148.6507663276557,1157.185367225698,1164.4685476722234,1167.613544018431,1168.6606258007118,1168.4547363556126,1170.5304416619374,1173.5086082870853,1175.471766092392,1180.6459030169053,1189.4317840382905,1200.2008501630955,1208.575497441623,1214.8502646412746,1218.9813508460122,1221.1788629082075,1220.3391862915337,1218.8479500622584,1219.1615334846442,1219.649053507446,1228.0006166838143,1235.0009506859299,1248.255345370946,1256.1795624807678,1268.5000763293992,1274.67855633413,1279.7996990509205,1281.2473574345859,1280.8723867865087,1279.5095219457112,1280.7439992193922,1281.3870054026202,1285.8756822121654,1292.382478678512,1300.3673380855244,1307.6805137149586,1312.3877011667155,1320.421301418775,1324.3819207249578,1326.6702716108193,1324.3081639846455,1326.4573789436004,1326.4688683727857,1328.250982648367,1330.4878900451852,1336.1156099555335,1347.2963306458407,1356.841924662492,1365.2321163555566,1371.8722015631633,1375.7127707396849,1378.9809300887364,1378.7491171461936,1378.696254126505,1375.6724610031615,1372.5602268954972,1373.7731271800412,1380.466693279745,1388.3973821244667,1389.7695792177608,1388.211777458929,1389.1302158896026,1393.231974473252,1398.3560675538456,1401.491411259918,1406.0920036460318,1409.786401277199,1413.925857931719,1415.602077842424,1420.6427950360585,1430.4162704335943,1451.8998433432514,1481.2154658974007,1515.763446652335,1550.5985119532306,1582.2141102079604,1606.8415515134486,1622.4173092634921,1635.0728709954176,1645.420206263369,1657.7027812366034,1670.068360627598,1683.4048564997895,1704.0745713603426,1728.5485602411381,1758.8137854617275,1779.7869276978772,1787.6270591154987,1783.713056854685,1772.3153344146385,1761.8096325052225,1752.536839064283,1751.7590866470257,1756.312316294283,1764.604262492892,1769.302745195174,1776.7777947782254,1784.8253184099894,1793.4027612634916,1795.131755122567,1791.1836651058395,1783.7812372128656,1777.050881858083,1768.7920672603034
394692,5,"Houston, TX",msa,TX,1239.2025349358166,1243.535766283451,1250.3723128796455,1262.4885730153462,1272.356245236433,1281.701507529722,1283.888040590994,1284.3404673693967,1279.4852742004375,1275.0496331932436,1271.480432161613,1270.151657048778,1271.2543020982114,1272.6510835095205,1278.04786790774,1282.8689838047853,1286.693104293981,1286.6390952672955,1284.312250548885,1279.591632063804,1272.1121711939875,1261.2808425380776,1250.9673497355088,1245.0881840586621,1254.3996169515317,1268.1932520971284,1282.8305990382783,1286.9757530263737,1295.0484522223353,1296.669927856153,1297.4430320531615,1292.5231426456799,1299.9758763509585,1308.4300520256336,1319.192684713629,1325.5272982281685,1327.9470368915033,1333.7253253221497,1334.3055216737223,1342.0021299993466,1344.0645082396609,1350.1601874178718,1350.0538366008484,1349.2342500798336,1345.0137933146477,1343.8712157183552,1345.6577631683454,1345.5586521695711,1347.7432959961884,1347.4058751137013,1354.0197096312975,1358.94163725699,1367.522835663242,1373.931963751136,1377.4611569790998,1376.785139220702,1373.5942134181348,1372.9810040112761,1373.3669279608264,1377.112264379182,1380.0942713083718,1386.5733708850173,1391.545301934031,1388.2829955973916,1381.0797827885697,1375.32980856613,1379.6197297527456,1384.6008066462148,1386.0893553380986,1388.779521110736,1392.2826364480368,1393.8631520728904,1393.3883133321267,1389.3153624527072,1395.3607055814084,1407.935881565207,1431.9396483627863,1460.025873077749,1487.0569681852633,1510.4075000163339,1524.25768243939,1532.3089034020609,1537.4100810510852,1542.3703245929412,1549.787726790598,1559.1387226058766,1569.0579183713942,1581.2011912049054,1593.852988299616,1609.871065619697,1621.60517135478,1628.2078759548438,1624.5841834429746,1620.433191209638,1616.0954956730516,1614.8729490084463,1620.5205035223648,1628.1495837971809,1638.255261207196,1644.0214051140392,1653.855103638841,1663.6470649584846,1671.0651411797412,1672.3715220129893,1670.027797071667,1664.6049685600678,1659.3393266557264,1657.8885536697007
395209,6,"Washington, DC",msa,VA,1717.578935005897,1724.5528038505536,1736.3479702100506,1744.34835363009,1753.9004724942574,1760.7175884804756,1764.4312955962662,1761.6671073377001,1760.6446169120115,1757.0020135099355,1756.3457777618096,1751.9432784392595,1754.1087369302315,1758.4233264325399,1765.7858699711248,1774.2897154919615,1784.2831236354182,1792.8087812798426,1796.4556097830523,1796.096807323175,1792.6656199416082,1783.200564862743,1776.3380172241891,1769.540988218762,1777.0479729670433,1789.9015072105408,1806.0515633560155,1817.5299020530515,1823.4291874275975,1830.5507835066687,1833.3827318995054,1832.7306233825439,1830.3492196961608,1824.9793027367261,1819.7635943804805,1816.2574683342089,1820.9081437512357,1827.1601815689633,1839.210043197702,1850.3773161443057,1861.9017880656354,1870.1021150265142,1875.149735915796,1878.506514182699,1873.9030750798233,1870.3544977079907,1871.2097825671972,1875.7618125617164,1881.0484824070024,1887.3061914320542,1896.5545661451524,1907.0858054142573,1917.596264018903,1927.0760888521108,1932.9254325690724,1935.042153481798,1934.623212980749,1928.9507363937098,1922.7817815756378,1923.201570235831,1932.4749324374836,1941.7035698052437,1951.3723254290785,1949.440290381323,1946.2816642471694,1939.4469917584088,1937.4563330971987,1933.8029528920536,1922.8980746751029,1908.1733008229578,1890.541935081469,1875.3403175557996,1871.1492270842061,1875.5715283505351,1886.9494828849977,1905.0488588281842,1933.546239646634,1971.401480202865,2008.7899693002694,2039.7762555766235,2059.601207956962,2069.71644994011,2070.6119259176467,2071.853968978921,2073.7679892306514,2085.4915540735174,2103.186686650245,2128.2058146709464,2154.574195823282,2180.147437951254,2203.8864170512716,2214.197422629561,2214.728102775972,2199.7945982776655,2183.6808560601526,2170.709042622388,2169.6308146081433,2180.644290487089,2195.895450674052,2214.1330772002616,2232.8632062047527,2251.9371525215533,2268.056595666064,2278.883059388883,2283.945407352105,2282.91452329365,2278.7276300621575,2272.5264128560807
394974,7,"Philadelphia, PA",msa,PA,1253.7957322764844,1260.1350775329233,1272.486948511025,1279.8298448183184,1286.6233636031006,1288.5444770506015,1290.556676707466,1291.4278821133132,1291.1391394170962,1290.2822754488434,1285.5407863347943,1280.6693823460682,1280.7325330106403,1290.319708676512,1302.048002281857,1313.484127874654,1320.6409355182243,1327.1063080636986,1327.9914112526155,1327.5207323106508,1323.650469685163,1317.7538457113008,1320.2534938616222,1319.802086111416,1327.4317940433834,1330.1634317895036,1342.4696010060043,1349.7231879866567,1355.636281062535,1356.163683306282,1357.2512859736678,1358.0266870235437,1358.1328162342897,1356.8608220485128,1355.3997823838017,1357.6793079088202,1361.2912099955413,1369.3279366245883,1379.4759601977812,1389.1476395863624,1397.1762122846121,1401.2300675297568,1402.494885737921,1401.506302793836,1400.143430475057,1401.8764015839945,1404.6859823337848,1403.9887929331392,1407.75081217272,1415.0940160837165,1429.120184128553,1439.5276189028625,1446.020555248476,1452.9059073891756,1456.7879259357373,1457.2711121709756,1453.9714538850872,1453.4220633472687,1454.75582650457,1458.4277750577805,1461.1121064997137,1470.671662001817,1479.9978134472435,1483.5816757770572,1482.6145494868545,1483.2670305693675,1488.1711754838614,1487.7895569388552,1487.4730381261115,1489.6953038020097,1494.4555722894831,1496.873280444106,1496.5181651857285,1500.422095489884,1508.7550914470557,1526.4661059724986,1547.1854172199332,1568.339283632491,1586.7291846876578,1605.1343253830883,1619.8136672450278,1631.2091200506222,1639.3870340719964,1650.9365870216077,1661.625230168121,1672.805140515433,1682.036820709311,1695.1892969225382,1709.1620762965665,1724.3027028447827,1737.5967573977016,1744.7288483530303,1749.6672426618031,1745.1441784808571,1744.1426662989722,1738.8627119660991,1741.8812973144134,1743.1525364467875,1750.6481279730513,1757.967030891151,1768.6886058332882,1774.6178960882278,1783.468859626768,1792.1400870984883,1804.543373202664,1811.5643378131872,1812.54062842006,1808.09749364635
394856,8,"Miami, FL",msa,FL,1494.0543480690299,1500.8691403607124,1506.4477917852637,1513.2763562242822,1522.8492796138676,1532.448166618863,1541.4985178104625,1548.5414907139493,1559.5310327921777,1568.0810785970107,1576.7248943572606,1579.6116958361597,1583.750423503713,1585.0278251768882,1587.445586412829,1589.2919830166086,1590.8782044480524,1591.7581366873944,1592.5669671473408,1595.4921928695933,1600.7432816284877,1602.9428521719292,1606.0472670314186,1603.6230224951162,1608.2556971579338,1610.5849721748573,1618.2919838705714,1619.6097499594694,1622.499659345545,1626.5398613953714,1633.6879349575256,1640.5793967267807,1646.7276635242592,1652.4566303046668,1654.7937646573566,1655.832923414066,1657.0149930428233,1660.1773468969757,1664.6976461879435,1669.00373356557,1673.0556736510373,1678.2826164320013,1684.9368243757694,1691.974962589131,1697.6023199736005,1703.5420415625704,1709.9413845082008,1715.4873172645828,1715.764465019831,1715.8646317943806,1715.9295872491623,1719.6235001373234,1722.6774754455153,1727.6643961306784,1732.6887959562132,1738.7189886502517,1744.7012825318075,1754.1677883211466,1763.895466091298,1772.065966761836,1774.6044792235432,1777.8466457555983,1777.5040350687202,1770.9824866865363,1761.227711954441,1760.0424796549037,1764.900577376926,1771.0338942010712,1776.4445214499995,1791.0370991347174,1810.4262860432502,1827.4146394136544,1843.607360738052,1865.7454030728159,1892.4345563998443,1924.066985372992,1966.32267516555,,,2159.530911848039,2218.719556122513,2267.642181631286,2314.288751067417,2363.6156898646027,2409.649483293029,2445.5213479014656,2487.619591035693,2525.887709665974,2565.498140707452,2587.472575537729,2608.095888142503,2615.480998612824,2622.782766425223,2627.4994682733522,2637.3663486041946,2643.1339635233935,2643.5113971335923,2645.8400878684233,2652.3362308380515,2662.4215530140336,2671.683253172423,2680.275457960278,2686.6056163334465,2691.6155065736716,2695.493960065617,2705.4718168858108,2710.570324756162,2707.492590193839
394347,9,"Atlanta, GA",msa,GA,1056.278663796425,1062.0302480076869,1065.6493998773335,1076.566445260504,1084.3596483397382,1095.6399880826125,1102.659859601074,1106.7881103501527,1108.3238374527236,1107.2281692869485,1107.7091220702775,1110.731557608243,1115.6776085064682,1123.2565214469787,1131.6252245845042,1140.6645872992365,1149.8544397791943,1157.6656774777068,1165.161221716469,1169.044667725417,1170.4153586693703,1169.3459841313806,1169.2415545829829,1170.9459811608926,1176.123368227965,1185.7413100004994,1197.6534219286252,1209.8236319482771,1221.2579310264882,1231.6836059910472,1240.5498811141263,1244.7915778161857,1246.7043559074707,1244.6357128072348,1245.6212250285955,1247.5231488532309,1254.7774712950345,1262.930397793244,1274.1926889869226,1286.1513754962712,1298.454232703278,1307.747007652232,1313.2600758932804,1315.8618378078497,1316.9698327151714,1322.593532942105,1327.6019580090715,1332.3420464972248,1337.85874049335,1346.1552209715464,1359.1014911847149,1370.2921243211615,1380.4683072261705,1388.8814909460457,1394.1269177884135,1398.6096358768668,1402.1789951949465,1402.0764822027193,1400.4063310189078,1399.9622576122636,1404.714685324198,1413.77116527849,1421.6171643173263,1424.7939843476972,1427.476483340874,1434.3338458722383,1448.909721266001,1462.8231015457889,1473.9777632722348,1482.288796004449,1489.5471069168898,1496.5773580217017,1507.25223541038,1523.4693390459402,1542.944076015499,1567.64563707152,1598.4781142962902,1640.244769397807,1683.7974775081173,1728.3138385710479,1757.8887705477148,1779.326986255283,1787.188361397568,1792.7518787808192,1798.3512418677308,1806.2869989510475,1820.7766695144603,1835.0942646253386,1855.7067377801145,1877.7940041339257,1902.1417808064464,1914.401149711001,1918.5218726232024,1911.1456033605389,1901.8622786496771,1897.7227352961336,1896.8857850586785,1903.5887630866205,1910.120936547003,1920.6473472765092,1926.5991135299187,1927.7315082096936,1929.0446453488962,1929.6645473044189,1930.0663994317558,1920.4917340595741,1906.9251020543552,1896.5263335123057
