RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2529.406861506856,2544.5566484321844,2563.1344010862836,2588.7296097963404,2610.4350104875057,2633.371854619131,2646.1966036332606,2657.261746659237,2662.181683042963,2659.723971241446,2646.7859130721004,2630.6684214544944,2622.9432597541404,2624.8638177131456,2634.5131043717984,2648.874473220216,2666.1282003794477,2684.238231759742,2697.9214069957206,2703.8248629561185,2702.249942189323,2692.0752847438434,2677.7919171878007,2654.6284430811183,2649.805921992812,2648.772101143224,2665.1182460763494,2677.4198740114957,2699.2505220194216,2718.917911021319,2731.382055661774,2735.704835525427,2727.6970794552203,2708.157855242887,2683.516772873132,2664.9985908047397,2662.236228498019,2670.821255084182,2688.111446509557,2710.598136375061,2733.4735559080464,2754.903750018976,2770.078985196803,2780.099629714286,2781.028835479548,2769.259885911315,2751.200191245668,2735.922642534582,2731.6663697973477,2741.290108584019,2758.151163854237,2781.692733168643,2807.6448118601866,2833.8734730111833,2853.1694167239257,2865.339241243245,2866.9517913500085,2861.642977012475,2843.648198489661,2831.71537482433,2828.5396755227034,2847.6882807633174,2861.871267606855,2852.390224224637,2823.4118161813367,2783.7365119598303,2744.5844391045703,,,2543.979909277457,2497.7284857590894,2472.834788685606,2462.691605865575,2475.386173233897,2503.5050678694115,2545.521623198518,2602.9393729677663,2674.6917709404956,2756.0543722190537,2831.377164447539,2893.906965132021,2928.412097297731,2954.7426600687445,2970.6133934408085,2999.434450990711,3036.308776219716,3082.1090778428625,3131.626439473059,3191.9443538436612,3257.0658307941408,3311.497259390723,3343.0879813919514,3345.683590755662,3325.329618376146,3281.5077764036187,3249.2865802536553,3240.7637475358897,3254.550096959704,3277.319862869809,3311.1605947734356,3355.0067217934757,3399.4530784754393,3430.1954094744865,3440.1196382996914,3436.738886113329,3413.5928912534127,3377.0011357147437,3346.6358190538344
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1853.0620086547242,1867.6106812960518,1884.253452635015,1898.2864321365753,1920.8994863925418,1930.991083479636,1945.1676692431834,1954.7226183774987,1971.4553764367258,1982.413396233853,1986.6240974446187,1992.4712028989895,2005.7707781114284,2026.4875472831727,2043.1103380203278,2050.660985300718,2065.811039404941,2083.7096155658996,2095.705880958601,2093.6737124063743,2088.8727279082277,2089.8857408579656,2088.8066247644756,2089.352691639969,2111.5929574585302,2132.536827465104,2165.246311879719,2174.504601409013,2190.482490876062,2198.7381271187382,2210.6415858228625,2220.307908746085,2221.881340226573,2226.6354703945067,2230.6423220650145,2238.9457630497595,2247.188828898806,2261.2346785244563,2269.8181240443473,2280.5902700508495,2288.5811336634615,2305.4471014225355,2319.711373847283,2333.6711216208196,2340.5434849344165,2341.531537417962,2341.7695423551972,2345.571029445513,2352.55649115543,2355.2147082519214,2367.065446417758,2377.6974698535587,2392.138040777846,2403.9338653970353,2415.139045537751,2423.6841990560315,2425.8396417882736,2424.496448543282,2421.7861201268715,2423.260250197859,2427.0972019837996,2432.7852960800387,2430.280574766253,2418.0797595406502,2403.174310471966,2392.1553531378677,2387.812474565968,2381.720788628678,2370.866156557955,2361.1545285961847,2354.910533949856,2350.208126304014,2348.088757917822,2346.9175239372667,2355.766395494717,2366.287554547923,2387.5853232094487,2418.139185319056,2461.133738239696,2509.642924119089,2547.380423003907,2572.9352387258646,2588.9567792415705,2607.2891730257775,2627.688361453219,2648.1226019065602,2668.1828963558182,2691.508432974373,2720.2208148080285,2743.981852334032,2767.7715065635753,2783.473540740825,2795.595437497763,2790.306363591263,2782.5000750259105,2774.6647830889797,2770.883242170673,2778.0804344517437,2786.653877332608,2799.9368985694578,2801.6905318597974,2805.99195006586,2809.980176638889,2817.0714676242806,2817.946942222171,2811.530586205893,2794.921895595832,2779.73574898541
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1216.258913862233,1219.708685419858,1225.9922583979576,1237.25960140387,1248.0506986009045,1258.1843296787774,1258.7606412449043,1259.3149250551069,1252.6623624712636,1249.265091222119,1247.0589464154343,1247.5641062280279,1248.4759899185822,1247.9953711210453,1253.5415536386156,1259.5840504017963,1264.3644921287662,1264.8066264085828,1262.9764023800894,1258.6193744397535,1250.4961551499307,1237.9570596827225,1226.231443192719,1219.6038265273326,1229.7853723061587,1244.658397408147,1260.252128161082,1263.2545457429067,1271.1272409908518,1270.8542028683828,1270.52752665557,1264.4863273804535,1271.8259532859602,1281.6827719590376,1295.1860519537943,1306.7003651678797,1308.502616478273,1314.7913175946314,1311.5877006694582,1320.5571461655916,1321.5012906986835,1327.806183542279,1326.8817694298814,1324.7347536282396,1320.5165391290593,1319.2296098145894,1321.942578234604,1321.835132371055,1323.433256049086,1320.7293010993596,1325.975562955825,1330.797835104561,1339.9759308833509,1347.5109047429821,1350.8585833555496,1351.3095043511673,1346.973959717319,1345.9362545153715,1344.5518091025206,1348.8889034835686,1351.4259776263466,1358.2643934096322,1363.7574942467722,1359.6017770788271,1351.568917982835,1341.8266221156032,1344.2882603266605,1346.2375360660044,1345.647773171833,1346.417258053774,1348.7957375586634,1347.1751741921098,1345.4710426278252,1339.6143140409988,1346.0433085878901,1357.9639336932723,1381.4106287113455,1409.8999554141308,1436.516375850142,1458.7115538042403,1471.6301430182907,1478.0639226680694,1481.9153184885215,1483.3650418113518,1490.7535883180012,1499.5925066330449,1510.1980033342124,1520.2520639879517,1532.1637794747676,1546.6262760714555,1556.699977767178,1561.6420760580809,1558.9567002806841,1554.784712386318,1551.4439448935802,1550.0772198240684,1555.4607415097523,1563.9073025857176,1572.604195455178,1578.0972192451509,1586.0759598731543,1595.6918823819951,1602.8638407716114,1601.51775275909,1598.9024684777166,1594.5267061879208,1593.0987278771208,1593.7299317530806
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1482.7942952636447,1492.1413972999956,1503.1897755074613,1514.0264788398474,1528.2123243506035,1539.2861682393288,1545.7086407570619,1548.0348385570198,1541.7574429819847,1532.5145764419128,1522.8606589366887,1521.501500589,1533.152608667965,1545.3405165551735,1560.0397980917483,1567.6573906120068,1578.179590244847,1589.8923443983315,1598.4971590619257,1602.933025033235,1593.4209855581419,1575.501156628299,1553.568145613386,1541.1538243049633,1552.4979840338415,1574.4794805970678,1599.5502363138387,1611.6953008803087,1623.2779125806912,1629.4057728263924,1631.4345409153293,1624.588326459919,1614.5682382503853,1601.0851877277419,1591.459321498209,1590.3455332951125,1598.8303154882478,1613.0336767457584,1625.7720790907256,1638.75180792495,1649.994393960853,1660.5299549441186,1664.2339563808357,1659.6334727149494,1645.0874547319918,1630.5511191696246,1621.867792681704,1623.1088994966588,1634.2560513875007,1647.3226431732937,1665.2109282709052,1679.5946515190853,1692.053867566972,1700.6397771229215,1705.0362637864462,1707.6191176242905,1701.1007845267911,1691.1187309210125,1679.3090664691192,1674.36834668625,1684.1925332923486,1699.1939969445611,1714.464745897792,1714.4006256806963,1711.4546358590778,1706.5165306299518,1703.2242855945888,1690.732177181132,1667.2548895683976,1634.6974985162665,1608.285492953817,1594.425704315046,1592.6486109178647,1603.5894905877692,1627.2153851544529,1661.145042726808,1694.2512529178186,1720.7029459837713,1738.1456490735936,1749.1227581324042,1750.438904004163,1748.6896841012124,1744.7104609270973,1751.4917002506377,1767.9707853481427,1790.0366002618273,1814.9268129112852,1839.043976404749,1864.8918476599254,1884.7313505219809,1901.2262123580185,1906.104185184354,1905.1931493296713,1899.904122266598,1893.1546662188725,1891.9877325897685,1901.0717017593818,1916.0790382744751,1934.5827190830746,1952.217806171382,1978.1810677162248,2000.866860951925,2012.9626852100505,2016.528784028807,2006.0861608938546,1990.2828765885179,1974.7453311331367,1975.7086133929745
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,965.416689025062,969.1517611719275,976.0185696455839,984.4398461420269,993.0242477928219,1000.3612117709905,1001.7804445382073,1000.3733991594314,999.9926225717188,1003.801919274007,1005.9724127711822,1006.2592985320747,1007.0588910421876,1010.7387307829798,1017.9905363265765,1025.961610651194,1031.9592441899829,1034.6461894319248,1036.5456682146953,1039.0722385138843,1039.0448638808057,1035.161678823714,1032.781631491096,1033.1813949405255,1041.3325023352108,1048.1563103212693,1056.3918013656446,1060.9681795739873,1066.336135471752,1073.863363647899,1077.0337537666842,1076.6046695782134,1072.358791174323,1068.9859738267594,1066.198250851999,1066.2691043105851,1067.0171430758708,1070.5939409757018,1075.7298428944923,1081.9233621180877,1088.6625877202316,1094.8904451662745,1101.8282029493291,1107.5429884480102,1108.1110869960216,1108.1045823273344,1105.9335343917612,1104.2206589380926,1104.5008570859704,1108.330359869935,1115.6133064989876,1122.1050170033573,1127.7140368919197,1132.8267248171614,1139.2277279208524,1148.4791965282793,1152.3256639599429,1151.1137137724454,1141.9858641676374,1139.8200009661455,1139.509117625022,1144.960296104429,1148.0768311377246,1148.7455125162846,1147.143036247468,1147.6057765019636,1153.4796099945006,1160.17965823839,1164.0035202246843,1165.1215160859515,1165.7494073535147,1167.6832145283074,1167.6396555246524,1169.9228914154107,1175.669552195053,1190.6746040788676,1208.5769212346756,1230.1672680460156,1254.7297219183588,1280.6835654212246,1301.7521062535138,1312.8031107390095,1317.3199032666441,1323.1139228035984,1328.3376561572582,1337.0041948750804,1348.085796836898,1361.16989156585,1377.6009579212189,1387.7676922904543,1401.7508896830564,1403.5506834433781,1402.225181223977,1390.9156473688372,1384.8344826524813,1383.4082885831035,1390.843187454619,1394.7597330417977,1402.730872384083,1404.830219295107,1408.6796475823899,1406.975572628287,1407.4600009934427,1407.2438908283466,1404.011398042089,1395.6902389729014,1388.2928929662348,1383.6493696666578
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1209.73078859175,1218.251310381455,1237.7376669321652,1245.3853414236762,1255.2737502619452,1256.2548897582087,1259.7868088380226,1257.0029366970193,1253.6691003813778,1252.8969877678014,1247.518821378574,1244.1358100369514,1240.9634302077775,1255.1175600917863,1269.7700969162463,1284.833978066343,1291.7029110086685,1295.9767405524376,1295.653513071507,1295.2482610376142,1289.7810679491895,1281.9699409997856,1284.3623889496214,1285.4275615697725,1295.0206688180572,1298.614962333894,1313.4148874935502,1322.0095453938936,1327.1543695480127,1326.8871849770715,1328.066850643279,1327.931391823221,1327.1420938073838,1323.9047821088736,1322.860565915363,1324.6623683376502,1328.7856866429984,1337.7074582851455,1350.1574892640779,1360.3369326691661,1368.3218010404985,1370.4848048628646,1369.1715801561134,1367.7492962566903,1366.8870278841785,1371.7454198948442,1376.351811565907,1374.0834923495977,1377.4582630841796,1383.3444206035501,1399.5154229947073,1407.9815603201096,1414.0581782038137,1420.0579880203693,1424.819863621597,1425.607126091842,1422.1019165399573,1421.6622806568757,1421.8069127864826,1425.2302575293556,1428.0376716612334,1435.2399667061634,1442.510476460168,1445.0012225728642,1444.4799714917262,1444.765293398804,1447.466073901373,1443.922495989536,1438.4038773282348,1434.4377063256093,1434.8273682052784,1433.858790219326,1433.8142979576864,1437.431178911563,1447.0414305483666,1462.8891567056044,1481.4570285675877,1497.0377870323557,1510.0260240376522,1522.1538652294387,1532.0829969937122,1540.0866771754,1547.478255177225,1558.360961264586,1568.3456206829305,1575.5800363281912,1583.9647857833982,1596.7386622429458,1611.8462032392092,1624.723848782495,1631.0252420653271,1633.1714888856047,1635.5704475449918,1629.9259790195063,1629.2705052847127,1621.4287320092901,1626.6313043512428,1630.2482074864413,1640.2496094811233,1648.8170526586716,1656.5056895980226,1659.6625692270227,1662.349316011872,1664.730062555086,1670.980744097772,1677.5992270981883,1680.725767985649,1677.8949697457012
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,874.7508705631735,886.1130599866576,893.8294615935321,906.7044149284625,910.6953420051854,918.2845338432455,917.258409367529,920.1557062509984,924.0808904174711,926.8216197528209,929.791496592687,928.8704515002094,936.1215681841745,941.1643183814768,951.2861134818698,960.5437640619622,972.1795438128792,979.4577806488285,979.2497336875825,977.0653618259112,978.1160959093437,978.8544718322158,980.5999897336854,979.8931667583981,985.1935436421813,993.2613738288255,1005.283259418352,1018.6309272023543,1031.4481521500534,1039.601267160611,1042.7548992794277,1043.630278597555,1044.9754834468565,1049.6930078804703,1050.8085803003648,1051.4858924850269,1052.8576316976303,1060.3213321688693,1073.1214972947607,1085.3189433552157,1097.5836281232625,1106.1507221550087,1115.1514526352255,1120.7975408416514,1128.8759571817106,1134.2635089110368,1139.23635161546,1143.4818784663996,1146.2261977548558,1155.297183198001,1164.1747343914076,1178.6234460631026,1190.1329977572404,1202.2268595254875,1210.608445632567,1216.643507688773,1221.2559980643982,1223.9904539479794,1230.101410037346,1238.1150319303522,1246.8643215133418,1254.491475584185,1259.6348475720445,1262.5762167441662,1263.7004909103377,1267.59051823931,1277.454790110003,1296.4950349081482,1309.0985671930341,1320.0663759196054,1324.3252184268636,1333.8712665410785,1343.410161162815,1355.1214723381856,1376.002663993644,1408.6744733947917,1452.4762308566358,1497.9369454822568,,1585.9271654515146,1619.5569611042715,1640.3964629596353,1653.7538644398041,1663.5549199375237,1674.7184796169586,1685.3817720735572,1699.0817200900262,1711.9180855286263,1722.3118109696625,1732.0523439017818,1739.0142057662388,1738.7739365629286,1733.0037730469041,1725.4146238190197,1720.6851333267073,1716.4126087882019,1709.8302708332203,1709.9590667537498,1718.8754497815787,1731.450804983548,1741.3947960319938,1741.679231125404,1742.966386809787,1737.5007572133995,1736.4246847140173,1732.710746598387,1723.7733942559478,1714.2598710759476
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,985.0947677610465,989.7504533413519,994.5740663662264,1002.339649136219,1009.2364054734205,1016.0638539882749,1020.8736125521742,1024.4913011520264,1027.8155561116132,1026.8731160785187,1026.792890578816,1026.0261609340255,1029.0537993747664,1032.8399164699003,1037.4704262118262,1044.4878516674034,1053.6376488397948,1065.4527856615318,1070.7310041532826,1072.7070789436586,1071.9481008327027,1072.407463999599,1072.2558710430076,1071.2785970482657,1077.0984304504304,1084.762752688428,1095.2793256970203,1101.8999339644986,1108.4952719937335,1116.5108117475113,1124.1013044200981,1130.4504885304698,1133.7229460337705,1135.0010994227694,1137.7932518923076,1141.464827771974,1145.2941727757204,1153.250364176442,1163.059150410473,1177.899931452671,1188.8834924953708,1197.174997394422,1204.9115640709808,1211.3090466875667,1217.5740725542178,1219.379604994847,1221.5765311735997,1223.2112322430503,1228.2886809010215,1233.5237383689612,1245.5522564582488,1256.1848343740464,1267.7502436326647,1274.8526687597055,1282.3870020657837,1288.1496893212384,1290.0524108279478,1290.162175150616,1289.4980142001968,1287.7491675692772,1288.129430986531,1295.1318977730489,1303.8437704592986,1299.831111836449,1294.8163693793542,1294.40975521381,1311.4429399511976,1327.363244477649,1345.4076461930217,1358.7201451816181,1368.140408765401,1373.6100570257545,1382.6184774974392,1396.838510879305,1414.8637936599328,1438.76034690033,1478.9050844584224,1531.523162746804,1583.8336534985144,1633.5731748180954,1669.0079930662105,1694.8669372042436,1699.0485507349406,1700.6032299119188,1705.9542760351326,1715.4095413694145,1725.0926353760701,1734.1691908920545,1748.188617314948,1763.4210289227588,1777.2451030783955,1769.9353147021643,1755.8512467231815,1727.4850172347055,1710.3494351660554,1694.1535090798563,1693.7986228989573,1697.3016820707664,1708.1791086811786,1716.074081992864,1726.9732847950904,1734.120432645163,1739.857168743375,1738.7151121493682,1733.8730001473295,1735.5569182903087,1732.6727254166294,1729.7089244511862
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1726.804626365313,1737.7769436498506,1749.5859907281347,1751.191223785472,1764.6142244305063,1771.280672658958,1790.6190037837248,1804.260634013038,1814.7277539262584,1820.2741211706877,1819.6673799141256,1825.0065316975167,1831.154569311809,1840.152637251526,1852.099883490756,1858.6891771537703,1871.3475445645195,1886.7315629330062,1901.8505290500843,1906.174850293191,1905.44170636294,1910.6655461021796,1914.4895733129174,1916.0764610272927,1920.8265016493858,1937.8864395551416,1957.9305466521546,1975.3763563704172,1989.3452649665628,2003.3886709042374,2019.6360842740062,2027.6696440173855,2030.850180954426,2027.6317999974199,2029.2137575609247,2030.4613718171313,2039.8713063921493,2052.864378380421,2068.2457851663216,2080.902769438097,2096.1801406318123,2106.9835186316413,2119.929857656231,2130.786140120419,2139.1759470727548,2140.251849368172,2130.5048366506817,2136.127102188851,2139.4723439006116,2148.363927925406,2151.596796263619,2162.361081920779,2174.236109365825,2186.8092240190213,2199.752809531923,2212.8131728398535,2215.428054315765,2214.072023308322,2210.3934695467774,2218.2074968004754,2222.3496302442004,2230.397732635192,2230.7843072684855,2220.3819490994833,2210.2878139533614,2202.760209848281,2213.3488551232185,2220.242927355238,2230.8496678217875,2244.668112234145,2261.4318696814744,2269.430109781379,2278.254749739347,2285.523428538621,2308.604461727562,2340.9860406501703,2381.5318101291327,2428.266456680179,2480.160536313823,2538.4346036005404,2596.5754202320372,2634.630082722865,2660.0388073200347,2674.5888369904324,2686.1725618097817,2714.7269091994576,2749.5311179589276,2801.832456583396,2847.096924897703,2893.0058270996146,2929.276028605477,2960.599385567409,2969.774514093209,2961.8634462091272,2937.9582872854835,2917.047851232656,2913.2354263599136,2919.97086681766,2945.658411439848,2974.269381254556,3013.6573585944443,3045.0121191155017,3066.897454025817,3068.2906927355907,3061.028743111352,3045.467196161213,3023.7506997401465,3000.413059432179
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1078.0426038335358,1079.2213918166394,1087.9943608001338,1096.8803382838662,1113.0302282288826,1124.0246674435787,1135.1438900164178,1136.2667162160706,1137.8044261494501,1142.6903056380966,1151.6462997750189,1157.2603316499096,1157.2062273527483,1159.7640331173432,1166.6783810799923,1176.5025255902772,1182.7958223601363,1190.3471311994335,1196.1677058667635,1199.4592739418779,1199.571251491591,1195.714772330822,1196.6504650335323,1197.2137514261212,1211.3829211734771,1219.6421518769512,1238.9991780407283,1247.1576233075998,1260.4957163946485,1261.7023840963616,1265.7115655610864,1264.1372058939346,1264.979082876629,1261.4822337518262,1269.5288133138374,1271.018302347258,1277.44528031156,1285.5033702548214,1291.2246189582331,1293.959667664445,1293.229251833326,1305.1386426595761,1311.26431127873,1314.8373923266317,1307.3658651831017,1310.1543499042575,1306.6395037531734,1309.5293341098306,1314.0020621249546,1322.3821999105971,1333.3679298742734,1339.8835573270171,1347.3359177890984,1359.1801915821766,1364.043988284967,1368.7209110013546,1366.8544655632743,1364.299535273887,1356.5107573676835,1347.8339275414583,1351.2744021927772,1358.6674632542524,1367.510690440982,1366.5248404399379,1363.125507323233,1360.2479199860798,1360.3260103368145,1362.5371486724782,1365.9639522657906,1368.8855273145075,1371.1457961887365,1369.9852470831268,1365.4903991502167,1367.08993541013,1375.9971617086787,1400.4926572426489,1430.2586438595629,1463.1161548854907,1494.811291788375,1521.2468767443438,1545.9544337698062,1557.414456395183,1567.1454258434878,1574.3402241606461,1589.3570220686245,1607.8842400846527,1616.5639529169616,1639.0168558848873,1662.3600084973612,1703.5298287141754,1724.6861387798353,1733.1481163689994,1727.234333820412,1709.416067306397,1697.226708478575,1683.7986451316492,1682.6899850179138,1683.598410338451,1689.4630257477638,1699.5082656732995,1709.4823524171618,1717.7805544097084,1720.5786928246603,1721.8394456740875,1719.645852897176,1713.635086819673,1702.6588124420718,1693.895624513756
